epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
51,1718.39,0.60549,0.68094,0.98948,0.76888,0.87093,0.83936,0.73478,0.52019,0.64544,0.92569,0.000505,0.000505,0.000505
52,1751.83,0.59391,0.63466,0.97986,0.74484,0.85064,0.81484,0.71418,0.51597,0.69625,0.90866,0.0004951,0.0004951,0.0004951
53,1784,0.57651,0.64552,0.97139,0.78376,0.83502,0.84399,0.73407,0.55769,0.68151,0.93846,0.0004852,0.0004852,0.0004852
54,1817.46,0.58579,0.66466,0.97739,0.76862,0.79977,0.82426,0.72784,0.49602,0.74322,0.90316,0.0004753,0.0004753,0.0004753
55,1849.93,0.56914,0.64883,0.96409,0.80436,0.85513,0.85945,0.74905,0.5515,0.62459,0.91614,0.0004654,0.0004654,0.0004654
56,1883.69,0.57251,0.63102,0.96985,0.77806,0.89183,0.85607,0.75055,0.5283,0.61846,0.90784,0.0004555,0.0004555,0.0004555
57,1916.4,0.57683,0.61931,0.97314,0.76622,0.88822,0.86134,0.75917,0.50347,0.6825,0.90682,0.0004456,0.0004456,0.0004456
58,1949.67,0.57001,0.62238,0.97529,0.83773,0.85124,0.87192,0.77042,0.51229,0.59482,0.91523,0.0004357,0.0004357,0.0004357
59,1983.07,0.56578,0.59161,0.9688,0.80245,0.887,0.89126,0.79455,0.4885,0.55597,0.89701,0.0004258,0.0004258,0.0004258
60,2016.16,0.55462,0.59262,0.96224,0.81251,0.86469,0.86713,0.76923,0.49047,0.60304,0.90065,0.0004159,0.0004159,0.0004159
61,2049.93,0.56861,0.5752,0.96831,0.82562,0.87929,0.88919,0.7841,0.50888,0.56928,0.89975,0.000406,0.000406,0.000406
62,2082.67,0.55734,0.58677,0.96622,0.79167,0.87313,0.86284,0.7576,0.50824,0.62158,0.90347,0.0003961,0.0003961,0.0003961
63,2116.1,0.53828,0.55718,0.94828,0.80532,0.89582,0.87625,0.77023,0.5058,0.58028,0.89209,0.0003862,0.0003862,0.0003862
64,2148.88,0.54445,0.54867,0.95631,0.80567,0.88759,0.88671,0.78561,0.50541,0.56671,0.89493,0.0003763,0.0003763,0.0003763
65,2182.06,0.53751,0.55965,0.96001,0.83652,0.87387,0.87734,0.78017,0.48846,0.59129,0.89481,0.0003664,0.0003664,0.0003664
66,2214.5,0.53761,0.56104,0.95731,0.80525,0.87596,0.868,0.76955,0.5049,0.6269,0.89653,0.0003565,0.0003565,0.0003565
67,2247.62,0.52717,0.54029,0.95051,0.83948,0.87594,0.88326,0.78339,0.49816,0.56887,0.89011,0.0003466,0.0003466,0.0003466
68,2279.49,0.52316,0.53369,0.9473,0.80711,0.91183,0.90732,0.80333,0.49512,0.53423,0.89328,0.0003367,0.0003367,0.0003367
69,2312.21,0.52512,0.53089,0.94112,0.82475,0.88908,0.90223,0.80415,0.48421,0.57133,0.88007,0.0003268,0.0003268,0.0003268
70,2345.74,0.53802,0.53799,0.95364,0.87576,0.874,0.9137,0.80759,0.50393,0.54925,0.89179,0.0003169,0.0003169,0.0003169
71,2378.53,0.51557,0.50987,0.94251,0.8238,0.88891,0.89914,0.79777,0.48957,0.5283,0.88368,0.000307,0.000307,0.000307
72,2411.39,0.52185,0.51603,0.94058,0.83909,0.89753,0.90687,0.80496,0.49333,0.54109,0.88205,0.0002971,0.0002971,0.0002971
73,2443.92,0.51109,0.49133,0.93876,0.88,0.89004,0.9261,0.83196,0.46872,0.49188,0.87814,0.0002872,0.0002872,0.0002872
74,2477.03,0.50029,0.48807,0.93576,0.8179,0.89511,0.90907,0.81699,0.47137,0.55772,0.87402,0.0002773,0.0002773,0.0002773
75,2509.84,0.50255,0.49475,0.93891,0.82348,0.90176,0.90256,0.8099,0.47789,0.55913,0.8809,0.0002674,0.0002674,0.0002674
76,2542.63,0.49274,0.49952,0.93211,0.84407,0.92959,0.91758,0.82156,0.47553,0.47402,0.87909,0.0002575,0.0002575,0.0002575
77,2575.38,0.50359,0.48627,0.94023,0.8631,0.8392,0.89059,0.7956,0.47745,0.57077,0.88119,0.0002476,0.0002476,0.0002476
78,2607.82,0.49204,0.47691,0.93874,0.84359,0.89342,0.91324,0.81592,0.48646,0.52359,0.88362,0.0002377,0.0002377,0.0002377
79,2641.14,0.48393,0.46017,0.93162,0.82575,0.93939,0.91874,0.81997,0.47694,0.499,0.87693,0.0002278,0.0002278,0.0002278
80,2672.98,0.48356,0.46093,0.92482,0.89017,0.90018,0.92807,0.83396,0.47303,0.48103,0.88676,0.0002179,0.0002179,0.0002179
81,2706,0.49104,0.45799,0.93624,0.87713,0.88707,0.91354,0.82194,0.46321,0.50047,0.87768,0.000208,0.000208,0.000208
82,2738.67,0.47507,0.45242,0.93077,0.86324,0.90061,0.91552,0.82196,0.46767,0.5172,0.87668,0.0001981,0.0001981,0.0001981
83,2771.17,0.4684,0.44437,0.91913,0.853,0.89821,0.92259,0.829,0.46857,0.48181,0.87758,0.0001882,0.0001882,0.0001882
84,2803.9,0.47959,0.44365,0.93011,0.84039,0.8958,0.91231,0.82221,0.46344,0.53469,0.87793,0.0001783,0.0001783,0.0001783
85,2835.92,0.47532,0.43297,0.92802,0.86712,0.89842,0.9255,0.83376,0.46033,0.50183,0.87356,0.0001684,0.0001684,0.0001684
86,2868.97,0.4667,0.42737,0.91833,0.85682,0.92392,0.91667,0.81882,0.45991,0.48109,0.87282,0.0001585,0.0001585,0.0001585
87,2901.3,0.47203,0.42912,0.9239,0.89964,0.88615,0.92896,0.83566,0.45917,0.4814,0.87241,0.0001486,0.0001486,0.0001486
88,2934,0.46999,0.41095,0.92574,0.85981,0.92242,0.93052,0.83992,0.44971,0.47585,0.86958,0.0001387,0.0001387,0.0001387
89,2966.37,0.46466,0.42085,0.92331,0.87816,0.90349,0.93266,0.84045,0.46139,0.47395,0.87192,0.0001288,0.0001288,0.0001288
90,2998.46,0.45197,0.4067,0.91659,0.87818,0.89798,0.9308,0.84064,0.44735,0.47245,0.86585,0.0001189,0.0001189,0.0001189
91,3032.52,0.37407,0.29109,0.85848,0.87803,0.90397,0.93638,0.83879,0.46602,0.48313,0.87122,0.000109,0.000109,0.000109
92,3063.94,0.37579,0.294,0.85697,0.86399,0.92285,0.93986,0.84911,0.45861,0.45937,0.86416,9.91e-05,9.91e-05,9.91e-05
93,3096.23,0.36311,0.27774,0.85142,0.86338,0.93414,0.9394,0.84719,0.45274,0.44018,0.86232,8.92e-05,8.92e-05,8.92e-05
94,3127.56,0.37161,0.28298,0.85905,0.90241,0.90695,0.93915,0.84825,0.4525,0.43706,0.86668,7.93e-05,7.93e-05,7.93e-05
95,3159.58,0.35967,0.26938,0.85447,0.85138,0.94064,0.93947,0.84914,0.44959,0.45732,0.86445,6.94e-05,6.94e-05,6.94e-05
96,3191.23,0.35761,0.26737,0.85013,0.88876,0.89839,0.93846,0.85118,0.44211,0.46013,0.86107,5.95e-05,5.95e-05,5.95e-05
97,3223.08,0.35277,0.25582,0.84936,0.89945,0.89201,0.9372,0.85046,0.44597,0.4519,0.86352,4.96e-05,4.96e-05,4.96e-05
98,3254.58,0.3557,0.2569,0.84303,0.87431,0.9199,0.93795,0.84709,0.44403,0.44181,0.86348,3.97e-05,3.97e-05,3.97e-05
99,3286.48,0.35207,0.23806,0.84487,0.86181,0.92217,0.93741,0.85047,0.44408,0.44994,0.86412,2.98e-05,2.98e-05,2.98e-05
100,3318.05,0.34358,0.24893,0.84735,0.84818,0.93662,0.9368,0.85158,0.43898,0.44988,0.8633,1.99e-05,1.99e-05,1.99e-05
